SPAN   NONBLANK LOCATOR  name
2      2      runner/driver.py:9-10  _copy
2      2      runner/contracts.py:42-43  wire
2      2      runner/contracts.py:664-665  proposal_digest
2      2      runner/contracts.py:46-47  digest
2      2      runner/audit.py:86-87  spec
2      2      runner/audit.py:175-176  snapshot
2      2      runner/audit.py:39-40  _digest

functions with span > 80 lines: 3
total functions/methods: 436
